('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         450170 function calls (434968 primitive calls) in 2.204 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       85    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
       84    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
       83    0.002    0.000    0.845    0.010 {method 'read' of '_io.BufferedReader' objects}
     80/1    0.000    0.000    2.205    2.205 {built-in method builtins.exec}
       79    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       79    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
       79    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       79    0.001    0.000    0.001    0.000 {built-in method io.open_code}
       79    0.000    0.000    0.002    0.000 parser.py:122(set_cdata_mode)
       79    0.000    0.000    0.000    0.000 element.py:1570(__eq__)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
     79/4    0.000    0.000    0.145    0.036 <frozen importlib._bootstrap_external>:844(exec_module)
       79    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:916(get_code)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1031(get_filename)
       79    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
       79    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
       78    0.000    0.000    0.000    0.000 typing.py:463(<genexpr>)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       77    0.000    0.000    0.004    0.000 css_parser.py:474(parse_attribute_selector)
       76    0.000    0.000    0.000    0.000 element.py:1363(_all_strings)
       76    0.000    0.000    0.000    0.000 typing.py:561(__eq__)
       73    0.000    0.000    0.000    0.000 element.py:388(_last_descendant)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1472(<genexpr>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
       68    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       68    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       67    0.000    0.000    0.005    0.000 _htmlparser.py:107(handle_startendtag)
       63    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       63    0.000    0.000    0.001    0.000 typing.py:836(copy_with)
       62    0.000    0.000    0.000    0.000 __init__.py:24(__new__)
       61    0.000    0.000    0.000    0.000 dammit.py:166(<listcomp>)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       60    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       60    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       60    0.000    0.000    0.000    0.000 __init__.py:82(<lambda>)
       56    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       56    0.000    0.000    0.000    0.000 typing.py:923(__eq__)
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       53    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       53    0.000    0.000    0.000    0.000 re.py:270(escape)
       52    0.000    0.000    0.003    0.000 css_parser.py:1113(<listcomp>)
    52/14    0.001    0.000    0.013    0.001 css_parser.py:925(parse_selectors)
       50    0.000    0.000    0.000    0.000 enum.py:244(<genexpr>)
       50    0.000    0.000    0.000    0.000 enum.py:438(<genexpr>)
       48    0.000    0.000    0.000    0.000 __init__.py:620(_linkage_fixer)
       45    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       45    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       45    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       45    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
       43    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
    43/26    0.000    0.000    0.001    0.000 typing.py:350(__getitem__)
       42    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
    42/30    0.000    0.000    0.010    0.000 css_parser.py:581(parse_pseudo_class)
       42    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
       42    0.000    0.000    0.000    0.000 enum.py:571(_get_mixins_)
       41    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       40    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       40    0.000    0.000    0.000    0.000 typing.py:915(<genexpr>)
    40/30    0.000    0.000    0.073    0.002 <frozen importlib._bootstrap>:1033(_handle_fromlist)
    38/29    0.000    0.000    0.010    0.000 css_parser.py:741(parse_pseudo_open)
       38    0.000    0.000    0.000    0.000 element.py:293(<listcomp>)
       38    0.000    0.000    0.000    0.000 element.py:274(get_text)
       38    0.000    0.000    0.001    0.000 typing.py:827(__getitem__)
       38    0.000    0.000    0.000    0.000 typing.py:204(_check_generic)
       37    0.000    0.000    0.000    0.000 typing.py:200(<listcomp>)
       36    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       36    0.001    0.000    0.016    0.000 element.py:779(_find_all)
       36    0.000    0.000    0.016    0.000 element.py:1871(find_all)
       36    0.000    0.000    0.000    0.000 element.py:2011(__init__)
       36    0.000    0.000    0.000    0.000 element.py:2278(__init__)
       35    0.000    0.000    0.000    0.000 datetime.py:383(_check_int_field)
       34    0.000    0.000    0.004    0.000 element.py:1846(find)
       32    0.000    0.000    0.004    0.000 financial_enhanced.py:20(<lambda>)
       28    0.000    0.000    0.000    0.000 __init__.py:595(__missing__)
       27    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       27    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       27    0.000    0.000    0.000    0.000 functools.py:517(decorating_function)
       27    0.000    0.000    0.000    0.000 functools.py:478(lru_cache)
       26    0.000    0.000    0.001    0.000 typing.py:431(Union)
       26    0.000    0.000    0.000    0.000 typing.py:216(_deduplicate)
       26    0.000    0.000    0.000    0.000 typing.py:230(_remove_dups_flatten)
       25    0.000    0.000    0.001    0.000 typing.py:904(__getitem__)
       25    0.000    0.000    0.000    0.000 typing.py:928(__hash__)
       24    0.000    0.000    0.712    0.030 {method 'readline' of '_io.BufferedReader' objects}
       23    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
       21    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       21    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       21    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       20    0.000    0.000    0.000    0.000 typing.py:569(__hash__)
       19    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       18    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       18    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       18    0.000    0.000    0.000    0.000 message.py:479(set_raw)
       18    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       18    0.000    0.000    0.000    0.000 abc.py:105(__new__)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       17    0.000    0.000    0.001    0.000 typing.py:469(Optional)
       17    0.000    0.000    0.000    0.000 typing.py:335(__repr__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:757(create_module)
